Date,Open,High,Low,Close,Adj Close,Volume
15/6/2020,16,16,13.99,14.5,12.572885,80600
16/6/2020,15.47,15.47,14.75,14.7701,12.807087,12400
17/6/2020,14.51,15.41,14.33,14.74,12.780987,23600
18/6/2020,14.45,14.45,13.03,14.05,12.182692,86300
19/6/2020,13.58,14.7,13.58,14.4,12.486176,13900
22/6/2020,14.58,14.58,13.69,14.2,12.312757,9400
23/6/2020,14.27,14.475,14.27,14.475,12.551208,2700
24/6/2020,14.65,14.65,14.2,14.2,12.392375,10600
25/6/2020,14.27,14.72,14.27,14.72,12.84618,6900
26/6/2020,14.27,14.57,13.69,14.14,12.340012,3300
29/6/2020,13.7,14.67,13.7,14.4,12.566916,22300
30/6/2020,14.4,14.98,14.4,14.95,13.046902,6500
1/7/2020,15.1,16.049999,15.1,15.88,13.858515,12000
2/7/2020,16.200001,16.74,16.059999,16.4,14.31232,5800
6/7/2020,17.33,19.77,17.33,18.75,16.363169,20400
7/7/2020,19.120001,19.17,18.799999,19.040501,16.616692,12200
8/7/2020,19.42,19.42,18.74,19.200001,16.755888,12000
9/7/2020,18.879999,20.26,18.879999,19.84,17.314419,8400
10/7/2020,20.74,20.74,20,20.5,17.8904,10900
13/7/2020,22.67,22.84,22.43,22.49,19.627079,28600
14/7/2020,22.799999,22.799999,20.9,21.75,18.981279,18900
15/7/2020,21.450001,21.450001,20.049999,20.395,17.798767,14000
16/7/2020,20,20.125,18.299999,18.379999,16.04027,46400
17/7/2020,20.549999,21.1,20.549999,21.049999,18.370386,31700
20/7/2020,22,29.950001,21.65,24.639999,21.503387,125900
21/7/2020,24.75,24.75,23.750099,24.17,21.09322,44900
22/7/2020,23.049999,23.5,23,23.120001,20.17688,44100
23/7/2020,23.275,25.459999,23.275,24.25,21.163036,35100
24/7/2020,24.870001,24.870001,23.99,24.27,21.180489,10000
27/7/2020,24,24.290001,23.959999,24.275,21.184853,18100
28/7/2020,23.549999,25.870001,23.549999,25.237499,22.024828,47100
29/7/2020,24.51,25.99,24.35,25.1,21.904833,18600
30/7/2020,24.25,25.245001,24.25,24.950001,21.773928,9600
31/7/2020,25.25,25.25,24,24.42,21.311394,10700
3/8/2020,24.5,25.77,24.5,25.41,22.175369,28800
4/8/2020,26.32,27.5,26.32,27.5,23.999319,37600
5/8/2020,27.17,27.700001,26.9,26.905001,23.480061,18700
6/8/2020,27.058001,27.6,27,27.6,24.08659,7600
7/8/2020,26.82,27.370001,26.82,26.82,23.40588,10300
10/8/2020,28.200001,28.200001,26.450001,26.66,23.266249,10900
11/8/2020,26.450001,26.66,25.76,26.24,22.899714,16600
12/8/2020,23.5,24,23.049999,23.65,20.639416,30000
13/8/2020,23.65,24.629999,23.65,24.209999,21.128126,14400
14/8/2020,23.5,23.860001,22.76,23.200001,20.2467,16600
17/8/2020,21.92,21.92,21.15,21.450001,18.719469,32500
18/8/2020,24.1,25.040001,24.1,24.601,21.469355,21000
19/8/2020,25.129999,26,25.129999,25.924999,22.624811,11200
20/8/2020,25.85,26.25,25.65,25.700001,22.428453,6300
21/8/2020,25.92,27,25.92,26.459999,23.091705,7400
24/8/2020,26.860001,27,26.610001,26.622,23.233088,108700
25/8/2020,24.950001,24.950001,23.67,24.5,21.38121,30000
26/8/2020,25.76,25.76,24.85,25.18,21.974649,8100
27/8/2020,25.65,25.65,25.190001,25.190001,21.983376,2700
28/8/2020,25.549999,25.549999,25.049999,25.17,21.965919,10400
31/8/2020,24.549999,25.1,24.549999,24.85,21.686657,31000
1/9/2020,25,25.725,24.959999,25.049999,21.861197,21600
2/9/2020,24.450001,25.030001,24.450001,24.85,21.686657,11400
3/9/2020,23,24.909901,23,23.9,20.857588,28000
4/9/2020,23.887501,23.887501,23.559999,23.661501,20.64945,4700
8/9/2020,21.48,22.48,21.4,21.8785,19.093422,29100
9/9/2020,21.1,21.1,19.559999,19.719999,17.209694,37500
10/9/2020,17.924999,18.629999,17.92,18.2999,15.970367,29500
11/9/2020,21.5,22,21,21.530001,18.789286,21200
14/9/2020,22.610001,24.299999,22.610001,24.02,20.962315,61900
15/9/2020,24.25,24.25,23.799999,23.82,20.787775,7600
16/9/2020,8.45,8.45,8.03,8.1,7.06889,33700
17/9/2020,8,8,7.22,7.5,6.545269,27100
18/9/2020,7.77,7.77,7.47,7.675,6.697992,36800
21/9/2020,7.79,7.79,7.5,7.65,6.676174,23600
22/9/2020,7.93,7.93,7.65,7.72,6.737263,8000
23/9/2020,7.9,7.9,7.52,7.66,6.684901,68600
24/9/2020,7.89,8.05,7.89,7.965,6.951076,37800
25/9/2020,8.2,8.25,8.13,8.13,7.095071,7700
28/9/2020,8.3,8.45,8.22,8.22,7.173615,8800
29/9/2020,8.2,8.2,7.88,7.9,6.89435,12900
30/9/2020,7.89,7.92,7.88,7.92,6.911804,17800
1/10/2020,7.88,8.05,7.88,7.88,6.876896,11300
2/10/2020,8.1,8.4,8.1,8.3001,7.243518,53400
5/10/2020,8.5,8.51,8.33,8.45,7.374335,26400
6/10/2020,8.45,8.45,8.1,8.23,7.182341,17800
7/10/2020,8.65,8.65,8.1,8.11,7.077617,264100
8/10/2020,8.16,8.47,8.085,8.2,7.15616,20200
9/10/2020,8.46,8.46,8.23,8.28,7.225976,15500
12/10/2020,8.64,8.64,8.44,8.515,7.431062,10700
13/10/2020,8.74,8.74,8.45,8.48,7.400517,28900
14/10/2020,8.82,8.9,8.73,8.73,7.618691,49400
15/10/2020,8.91,8.91,8.73,8.8,7.679782,25000
16/10/2020,8.75,8.86,8.69,8.73,7.690352,24100
19/10/2020,8.91,9.09,8.91,9.01,7.937009,139200
20/10/2020,9.07,9.07,8.81,8.94,7.875343,14000
21/10/2020,8.38,8.61,8.38,8.45,7.443697,20500
22/10/2020,8.47,8.47,8.26,8.38,7.382034,20100
